facility_code,facility_name,region,fuel_tech,lat,lon
0BCWF,Boulder Creek,QLD,wind,-23.669964,150.260813
0BSSF,Broadsound,QLD,battery,-22.810001,149.36302
0BUNDSF,Bundaberg,QLD,solar_utility,-24.943515,152.020698
0BUNGAMA,Bungama,SA,battery,-33.191223,138.08733
0CALBESS1,Calala 1,NSW,battery,-31.141287,150.963101
0CALBESS2,Calala 2,NSW,battery,-31.141287,150.963101
0ERB2,Eraring 2,NSW,battery,-33.066837,151.515026
0FULHAMSF,Fulham,VIC,solar_utility,-38.121256,146.973124
0GLENELLEN,Glenellen,NSW,solar_utility,-35.929882,146.909107
0GOORESF,Goorambat,VIC,solar_utility,-36.427352,145.918853
0GPWFWST,Golden Plains West,VIC,wind,-37.90844,143.664887
0GRIVSF,Goulburn River,NSW,battery,-32.282141,150.102488
0GUNSYNDSF,Gunsynd,QLD,solar_utility,-28.408388,150.343437
0HORSHAMSF,Horsham,VIC,battery,-36.71577,142.25956
0KIDSTON,Kidston,QLD,hydro,-18.865892,144.15955
0KINGS_ROCK_WF,Kings Rock,WEM,wind,-32.243655,119.161497
0LANCSF,Lancaster,VIC,solar_utility,-36.290467,145.141535
0LCNBESS,Limestone Coast North,SA,battery,-37.733181,140.840805
0LIDDELLBESS,Liddell,NSW,battery_discharging,-32.37564,150.978578
0LOCKHART,Lockhart,NSW,solar_utility,-35.217506,146.70322
0LOTUSCRKWF,Lotus Creek,QLD,wind,-22.366535,149.27332
0MARYVALE,Maryvale,NSW,solar_utility,-32.465112,148.913306
0MERREDINBESS,Merredin,WEM,battery,-31.539455,118.227167
0MORNBESS,Mornington,VIC,battery,-38.268707,145.204823
0MREH,Melbourne A1,VIC,battery,-37.661274,144.726302
0MREHA2,Melbourne A2,VIC,battery_discharging,-37.663934,144.726927
0MRTLKBESS,Mortlake,VIC,battery,-38.06698,142.669466
0MUCHEABESS,Muchea,WEM,battery,-31.557553,115.963146
0ORANABESS,Orana,NSW,battery,-32.530421,148.962923
0PLWF,Port Latta,TAS,wind,-40.871168,145.357293
0RIVERINASF,Riverina,NSW,solar_utility,-34.309852,146.105225
0SNOWY20,Snowy 2.0,NSW,hydro,-35.745207,148.653852
0STANBESS,Stanwell,QLD,battery,-23.513568,150.31811
0SUMMFBESS,Summerfield,SA,battery,-34.9538,139.21502
0SUPERNODE2,Supernode 2,QLD,battery,-27.449227,153.112538
0SWANBBESS,Swanbank,QLD,battery,-27.65619,152.817139
0TARONGBESS,Tarong,QLD,battery_charging,-26.780051,151.912068
0TERANGBESS,Terang,VIC,battery,-38.231839,142.933262
